@relation 'flopRank Instances list'

@attribute playersLeft numeric
@attribute position numeric
@attribute flopRank numeric
@attribute id numeric

@data
5,4,-1,1617303
5,5,-1,1617309
4,4,213812,1617313
4,3,397610,1617316
5,4,-1,1618534
6,1,395346,1618536
6,3,397568,1618544
6,5,743810,1620549
6,1,399470,1620551
7,3,-1,1620559
7,6,-1,1620569
7,5,744169,1620575
7,4,-1,1620581
6,2,393107,1620586
6,5,-1,1620595
5,2,-1,1620598
6,6,-1,1620607
6,4,-1,1620611
6,2,-1,1620615
6,4,373376,1620623
6,3,-1,1620628
5,4,-1,1620663
4,1,-1,1620665
4,4,386048,1620672
4,3,-1,1620675
4,1,-1,1620677
2,1,377318,1620684
3,3,1115324,1620688
3,2,377628,1620690
4,1,-1,1620692
4,4,-1,1620699
4,2,-1,1620701
4,1,-1,1620704
4,2,-1,1620709
4,1,-1,1620712
4,4,-1,1620719
5,4,1115649,1620723
5,3,1115453,1620727
5,2,-1,1620731
5,1,-1,1620735
5,5,1115673,1620744
5,4,379965,1620748
5,2,388298,1620751
3,3,-1,1620757
5,4,332801,1622600
5,2,386258,1622603
5,3,-1,1622609
5,1,-1,1622612
5,5,-1,1622621
5,2,356265,1622623
5,4,-1,1622630
6,2,-1,1622633
6,6,-1,1622643
7,6,397268,1622649
7,4,-1,1622654
7,3,383346,1622660
8,2,-1,1622666
8,1,-1,1622673
7,7,-1,1622687
6,1,744381,1622688
6,5,-1,1622698
6,2,-1,1622701
6,6,-1,1622711
5,1,-1,1622712
5,5,-1,1622721
5,4,395317,1622725
5,3,-1,1622729
5,2,744587,1622733
3,3,-1,1622739
5,1,-1,1622740
5,5,-1,1622749
5,4,392992,1622753
5,2,-1,1622756
4,3,1115493,1622762
4,2,399283,1622765
4,4,-1,1622771
4,4,-1,1622775
5,4,-1,1623380
5,3,-1,1623384
5,5,743313,1623391
5,4,-1,1623395
5,3,-1,1623399
4,3,-1,1623404
4,1,390950,1623406
4,4,-1,1623413
4,1,366067,1623414
6,1,-1,1623418
6,6,-1,1623429
8,4,-1,1623433
8,3,-1,1623440
8,8,-1,1623453
7,6,387727,1623459
7,2,390613,1623462
6,3,388445,1623470
6,1,390637,1623474
5,3,-1,1623482
4,2,363741,1623486
4,3,392795,1623491
4,1,335166,1623493
4,2,377430,1623525
