@relation 'Turn Round 3'

@attribute playersLeft numeric
@attribute position numeric
@attribute rank numeric
@attribute playersStreet numeric
@attribute pot numeric
@attribute chips numeric
@attribute chipsBets numeric
@attribute action string

@data
5,3,744764,2,700,7817,380,r:80
6,2,1116058,2,640,10631,280,c:40
4,1,1114352,2,720,10331,340,c:40
8,1,1114651,2,580,2580,340,c:40
8,2,743793,2,620,3829,300,c:40
7,3,1116039,2,610,23478,260,c:40
6,1,744153,2,1020,2713,300,c:40
4,3,398909,2,860,4495,460,r:80
5,2,1485184,2,1010,3347,540,r:80
6,4,1114552,2,1150,7045,560,r:80
7,2,2599164,2,610,46304,340,r:80
5,1,744202,2,600,1504,300,c:40
9,3,397049,3,910,3892,420,c:0
4,2,1485177,2,570,1920,320,c:40
9,1,2194051,2,540,28841,300,c:40
4,1,1114829,2,900,4181,500,r:80
6,5,1485184,2,750,59828,400,c:40
9,4,2227863,2,790,3173,320,c:40
6,3,1115989,2,590,6507,380,c:40
6,1,372924,3,980,10487,340,c:0
7,1,1485184,2,1000,1883,600,c:40
7,1,1485180,2,860,4458,1020,r:80
4,2,1485179,2,800,2827,440,r:80
6,1,1485176,2,500,3922,240,c:40
6,2,1485181,2,1050,7148,600,r:80
7,4,1485183,2,590,7295,600,c:40
4,1,1485184,2,1200,1232,640,r:80
5,1,743492,2,580,1278,300,c:40
8,8,1115566,2,730,2480,400,c:40
7,5,2227783,2,690,3310,380,c:40
8,2,1116030,2,620,5642,300,c:40
4,2,1115731,2,490,7811,280,c:40
6,4,1485184,2,1320,133734,660,r:80
6,1,2227923,2,560,213156,440,c:40
5,3,2227880,2,770,213721,420,r:80
5,1,1116057,2,740,12775,400,r:80
8,2,1485180,2,560,7029,320,c:40
5,4,1115427,2,750,9124,400,r:80
6,2,744637,2,570,4550,300,c:40
4,1,1115716,3,600,2265,280,c:0
7,2,744478,2,620,2975,300,c:40
8,4,744493,2,590,2990,300,c:40
8,7,2222417,2,840,6292,380,r:80
4,1,1485181,2,880,87169,400,r:80
7,3,2227872,2,860,374465,660,r:80
4,4,1115467,2,1040,159393,520,r:80
9,3,1485184,2,820,93708,380,c:40
5,5,2227818,2,640,2535,420,c:40
4,2,744648,2,610,2686,340,c:40
4,1,2191844,2,700,35592,360,c:40
6,2,1485183,2,930,32812,740,r:80
7,1,1115370,2,860,26725,660,r:80
9,5,2224586,2,1510,9866,700,r:80
5,1,2225164,2,960,2420,2420,r:80
9,1,1485181,2,1080,1905,540,r:80
9,8,1485180,2,780,2795,420,c:40
6,3,2039350,2,750,901,400,r:80
9,1,1115200,2,660,39155,320,c:40
9,2,1485175,4,930,45045,260,c:0
4,1,399444,2,540,41127,300,c:40
7,1,743807,2,600,2720,320,r:80
9,2,1485181,2,590,4276,380,c:40
4,2,744363,2,690,3285,380,r:80
4,2,1115181,2,530,3030,380,c:40
5,3,1115229,2,610,2837,300,c:40
9,4,1115904,2,590,19864,360,c:40
4,1,397275,3,840,31551,320,c:0
8,1,743124,2,800,3555,420,r:80
8,2,744540,2,810,3934,380,r:80
9,1,2224445,2,640,16456,340,r:80
6,6,1113987,2,730,2350,340,c:40
5,2,1114369,2,700,2963,380,r:80
9,9,743643,2,1150,564,480,c:40
7,1,399640,2,1160,5330,580,r:80
