@relation 'River Round 1'

@attribute playersLeft numeric
@attribute position numeric
@attribute rank numeric
@attribute playersStreet numeric
@attribute pot numeric
@attribute chips numeric
@attribute chipsBets numeric
@attribute action string

@data
7,3,2227917,2,850,4568,340,r:80
6,1,744749,2,500,5038,240,r:80
5,1,744755,2,280,6123,120,c:40
7,2,744727,3,330,5760,100,c:0
9,7,2227819,2,280,6420,120,c:40
4,1,386655,2,260,6150,120,c:40
4,1,744572,2,380,5950,140,c:40
4,1,388416,2,380,5960,140,c:40
3,2,744584,2,250,5790,120,c:40
4,1,744660,2,200,5615,80,c:40
4,2,1485175,2,370,5421,180,r:80
3,1,379514,2,360,3056,180,c:40
2,1,2218025,2,440,2776,220,r:80
2,1,2227817,2,440,2996,220,r:80
3,1,744218,2,300,3426,140,c:40
5,3,744025,2,310,4106,140,c:40
5,1,743987,2,340,4036,140,c:40
4,1,2227851,2,280,3616,140,r:80
3,2,743840,2,290,5891,140,c:40
8,5,743676,2,270,6031,120,c:40
3,1,388485,2,220,5201,100,c:40
6,1,399472,2,300,4824,140,c:40
5,4,744753,2,620,5539,300,r:80
4,3,2599175,2,430,5189,200,r:80
4,2,399288,2,460,5419,160,c:40
4,1,391047,2,320,5409,160,c:40
7,2,390641,2,320,5619,140,c:40
7,2,396906,2,390,5894,140,c:40
2,1,393243,2,320,5084,160,c:40
4,2,381698,2,290,6487,140,c:40
3,1,390471,2,380,6857,140,c:40
3,1,388482,2,360,7417,180,c:40
5,2,744184,2,290,7447,140,c:40
5,2,384275,2,190,7367,80,c:40
5,1,744221,2,340,7917,160,c:40
5,2,395247,2,210,7728,100,c:40
7,1,744405,2,260,7628,120,c:40
2,2,2227864,2,680,8598,340,r:80
3,1,395242,2,380,9288,160,c:40
4,1,744145,2,480,8538,200,c:40
6,2,744686,2,290,8998,140,c:40
2,1,743969,2,360,9298,180,c:40
3,2,2179957,2,200,9681,100,c:40
3,2,398923,2,290,9851,140,c:40
4,1,382037,2,280,9981,140,c:40
4,1,743103,2,240,9781,120,c:40
4,2,386089,2,290,9971,140,c:40
2,1,395415,2,320,9831,160,c:40
2,1,394712,2,440,9531,220,c:40
4,1,2162565,2,220,9261,100,c:40
4,1,2227778,2,180,9821,80,c:40
4,2,744716,2,400,10081,180,c:40
5,1,390850,2,480,9581,140,c:40
5,1,743987,2,260,9401,100,c:40
3,3,2227894,2,640,9281,300,r:80
3,1,743455,2,160,9806,80,c:40
3,2,399613,2,340,9706,160,c:40
2,1,390135,2,280,8876,140,c:40
4,4,2155608,2,500,8466,240,c:40
2,1,1115059,2,440,8276,220,c:40
2,1,384274,2,120,8506,60,c:40
2,1,1485179,2,360,8456,180,r:80
2,1,743648,2,200,8436,100,c:40
3,2,397247,2,290,7561,140,c:40
3,3,1115624,2,340,7741,160,r:80
2,1,743833,2,400,7551,200,c:40
3,3,1114891,2,380,7471,180,r:80
9,1,397611,2,360,7351,140,c:40
8,2,1485184,2,600,7441,200,c:40
5,2,744741,2,290,8826,140,c:40
4,2,744737,2,130,7921,60,c:40
3,1,1485181,2,520,8431,200,r:80
6,3,744677,2,470,8981,160,c:40
4,1,395416,2,220,9196,100,c:40
2,1,744154,2,360,10226,180,c:40
8,5,743641,2,320,10106,140,c:40
5,1,386612,2,440,11421,220,c:40
6,1,396909,3,520,11051,140,c:0
8,1,388443,2,420,10831,140,c:40
6,2,744379,2,380,10961,140,c:40
3,1,2194055,2,380,10491,180,r:80
3,2,386104,2,290,10776,140,c:40
3,1,2163296,2,540,11366,240,c:40
4,1,392865,2,360,11426,180,c:40
4,1,2163072,2,400,10531,180,r:80
6,2,1116060,2,720,10631,280,c:40
4,1,1114355,2,800,10331,340,c:40
2,2,744400,2,440,9691,220,c:40
4,3,744023,2,310,9796,140,c:40
3,1,743480,2,260,9516,100,c:40
3,2,373474,2,250,9576,120,c:40
4,3,743112,2,280,8456,120,c:40
5,2,2222768,2,490,8671,240,c:40
3,1,743801,2,320,8741,140,c:40
3,1,398922,2,320,8981,140,c:40
5,2,744664,2,200,8811,80,c:40
2,1,1485184,2,200,8646,100,c:40
6,2,1115877,2,590,10289,260,r:80
3,3,744453,2,400,10484,180,c:40
2,1,380021,2,240,11294,120,c:40
4,3,1115398,2,590,11874,280,c:40
4,2,2191657,2,290,11924,140,c:40
2,1,2193660,2,680,12714,340,r:80
8,4,2222391,2,480,11464,180,r:80
4,3,2227808,2,520,13194,240,r:80
5,4,1485184,2,450,13294,220,r:80
2,1,393036,2,320,14524,160,c:40
5,1,744027,2,180,14254,80,c:40
5,2,744345,2,330,14274,140,c:40
5,2,744506,2,300,14424,140,c:40
6,5,744379,2,470,14514,220,c:40
5,1,1485184,2,920,14224,340,r:80
5,2,744333,2,450,14344,160,c:40
7,3,399105,2,350,14344,160,c:40
6,5,744767,2,390,15214,160,c:40
5,1,399275,2,340,15384,160,c:40
7,1,2208519,2,800,15944,400,r:80
4,1,744373,2,300,15384,140,c:40
3,1,744767,2,320,13889,140,c:40
5,1,386572,2,220,16217,100,c:40
2,1,396725,2,320,16417,160,c:40
2,1,743443,2,280,16757,140,c:40
3,1,397077,2,360,17827,160,c:40
5,1,742767,2,280,17577,140,c:40
3,2,388853,2,290,17467,140,c:40
4,2,395399,2,370,17497,180,c:40
5,3,743624,2,310,17552,140,c:40
5,2,744509,2,480,34156,240,r:80
3,2,1485179,2,570,38625,280,r:80
7,2,1114722,2,520,38355,220,c:40
5,5,744662,2,530,38455,260,r:80
3,1,744687,2,360,38285,180,c:40
5,1,1116031,2,380,32310,140,c:40
5,1,744532,2,420,33360,160,c:40
5,1,742949,2,380,34481,140,c:40
6,2,373276,2,250,34611,120,r:80
7,2,744729,2,170,34681,80,c:40
2,1,744183,2,280,38628,140,c:40
4,2,2131974,2,400,38318,200,c:40
5,2,744764,3,200,38138,60,c:0
2,1,744196,2,360,38393,180,c:40
2,1,2163280,2,320,39013,160,c:40
2,1,744703,2,520,38493,260,r:80
4,2,395414,2,130,53518,60,c:40
5,2,1114678,2,370,53663,180,r:80
3,1,399104,2,360,45261,180,c:40
2,1,744040,2,280,49942,140,c:40
4,1,399458,2,300,49947,140,c:40
9,2,744742,2,490,51259,240,c:40
2,1,396542,2,320,50478,160,c:40
3,1,399232,2,440,50158,200,c:40
5,1,744222,2,320,71120,160,c:40
4,3,1116032,2,380,65786,180,c:40
5,1,744701,2,400,92632,160,c:40
6,3,744738,2,670,94127,240,c:40
4,2,744729,2,240,113059,100,c:40
3,2,744223,2,290,111939,140,c:40
3,1,386403,2,360,111919,180,c:40
5,3,1485184,2,600,111389,240,r:80
6,5,1115198,2,400,95687,180,c:40
8,1,393063,2,280,104344,100,c:40
3,1,1115210,2,520,104114,260,r:80
3,2,2094275,2,380,104424,140,c:40
3,1,1116030,2,260,104104,120,c:40
9,6,1485182,2,670,104829,280,r:80
3,1,393060,2,160,104289,80,c:40
3,2,1485181,2,370,104879,180,r:80
5,2,397261,2,490,104339,240,c:40
3,1,743672,2,260,102843,120,c:40
3,2,2227760,2,440,103263,220,r:80
3,1,744520,2,460,103923,220,c:40
3,3,744321,2,370,103603,180,c:40
3,2,1115039,2,530,103383,260,r:80
5,2,2127581,2,370,103213,160,c:40
3,1,743859,2,320,103063,140,c:40
3,1,744622,2,280,103773,140,c:40
9,2,744711,2,510,103738,240,c:40
5,3,391046,2,420,108261,180,c:40
3,1,399651,2,580,107781,280,c:40
4,3,2160886,2,530,107121,200,r:80
5,1,399584,2,360,107811,160,c:40
2,1,397233,2,360,117110,180,c:40
3,2,386473,2,130,118565,60,c:40
3,1,393035,2,400,118505,180,c:40
3,2,1485175,2,480,122442,240,r:80
6,1,744559,2,500,122092,200,c:40
5,1,386641,2,320,122252,140,c:40
3,1,744710,2,280,122242,140,c:40
3,2,744638,2,360,121772,180,c:40
3,2,397233,2,200,121432,100,c:40
5,2,2191815,2,480,122715,200,r:80
4,1,744015,2,360,122955,180,c:40
5,1,743975,2,260,123235,120,c:40
2,1,2193646,2,400,122240,200,c:40
2,1,744546,2,280,122090,140,c:40
3,1,395247,2,240,121900,120,c:40
6,2,395231,2,330,111467,160,c:40
2,2,399641,2,480,111627,240,c:40
2,1,2227782,2,360,110802,180,c:40
2,1,2224612,2,440,110872,220,r:80
2,1,1485178,2,320,111152,160,r:80
8,1,744392,2,500,112752,160,c:40
7,3,2599095,3,460,111483,120,r:40
9,2,2222743,2,410,112363,200,r:80
9,1,744221,2,420,112573,140,c:40
5,2,393247,2,370,109753,180,c:40
2,2,2227817,2,560,119813,280,c:40
2,1,744007,2,360,120033,180,c:40
4,3,386469,2,320,119983,140,c:40
2,1,1485182,2,360,119133,180,c:40
2,1,368517,2,360,119033,180,c:40
2,1,391045,2,360,118913,180,c:40
2,1,743482,2,320,118053,160,c:40
2,1,386455,2,120,118263,60,c:40
2,1,743131,2,160,117913,80,c:40
2,1,743950,2,360,117413,180,c:40
6,2,394894,2,370,117880,180,c:40
8,8,1485176,2,460,118370,160,c:40
6,1,1115131,2,420,117630,200,c:40
8,6,1115665,2,1120,118120,400,r:80
3,1,399627,2,320,122330,140,c:40
5,5,2122653,2,620,122110,220,c:40
6,1,744386,2,420,122200,160,c:40
6,4,2227882,2,390,122590,180,r:80
7,5,399274,2,370,122980,140,c:40
9,2,397625,2,490,123170,240,c:40
4,2,2132340,2,650,122485,280,r:80
2,1,386473,2,320,122025,160,c:40
2,1,2129975,2,240,121795,120,c:40
6,5,390627,2,270,143772,100,c:40
8,3,743495,2,310,143942,140,c:40
8,2,1115032,3,570,143957,180,c:0
4,1,744765,2,320,144127,120,c:40
7,1,399627,2,480,144337,200,c:40
4,2,744561,2,260,2030,100,c:40
3,1,2225178,2,220,2240,100,r:80
3,3,1485184,2,410,2105,200,r:80
3,2,397090,2,300,2245,140,c:40
3,3,2189293,2,540,2355,260,r:80
3,3,1485181,2,330,2735,160,c:40
3,2,743859,2,170,2585,80,c:40
4,1,744496,2,320,4791,160,c:40
4,1,1114328,2,500,4011,240,c:40
5,4,397613,3,510,3941,160,c:0
8,1,744321,2,380,4401,180,c:40
8,2,744195,2,360,2348,140,c:40
7,2,744741,2,440,1835,160,c:40
4,1,1485184,2,380,1635,180,c:40
5,2,1115736,2,530,1725,260,r:80
5,2,2222532,2,520,1915,220,r:80
4,1,399430,3,580,2175,180,c:40
4,1,395400,2,500,2090,240,r:80
3,1,383712,2,340,2680,140,c:40
4,1,397557,2,380,2740,180,c:40
5,2,2227860,2,520,2260,240,r:80
3,2,399454,2,450,2880,220,c:40
9,6,395232,2,370,3100,160,c:40
9,1,744467,2,380,2920,160,c:40
8,1,1114651,2,740,2580,340,c:40
7,1,395441,2,360,2745,140,c:40
5,1,377850,2,400,2725,180,c:40
3,1,361390,2,240,3805,120,c:40
8,2,395243,2,380,4875,140,c:40
8,2,744561,3,550,5245,180,c:40
3,1,1485184,2,400,5365,200,c:40
3,2,395441,2,340,5725,140,c:40
3,2,393036,2,330,5515,160,c:40
3,1,744204,2,280,5864,120,c:40
4,3,1115059,2,390,6044,180,c:40
6,2,744584,3,580,5904,180,c:0
2,1,393240,2,200,5959,100,c:40
2,1,744392,2,280,5809,140,c:40
2,1,2227880,2,360,6509,180,r:80
2,1,744672,2,360,6079,180,c:40
2,1,2218035,2,480,6159,240,r:80
2,1,743272,2,200,6829,100,c:40
4,1,390655,2,440,6799,140,c:40
6,2,744548,2,290,6559,120,c:40
5,3,744574,2,350,7049,140,c:40
5,1,744702,2,440,6379,220,c:40
4,1,368695,2,380,6319,160,c:40
2,1,373457,2,200,6539,100,c:40
2,1,396360,2,320,6279,160,c:40
6,2,2227830,2,370,5189,180,r:80
5,4,1485182,2,1020,5014,420,r:80
5,5,1115226,2,670,4934,260,c:40
8,6,743859,2,450,5784,180,c:40
4,2,392824,2,400,5844,180,c:40
4,1,1485182,2,360,3049,160,c:40
6,2,1114215,2,490,2899,220,c:40
7,4,395412,2,550,2639,160,c:40
7,5,1115187,2,630,2999,300,c:40
7,3,397599,2,430,2629,200,c:40
6,1,399653,2,360,2271,160,c:40
3,2,1115215,2,260,2201,100,c:40
4,2,399288,2,260,2061,120,c:40
4,2,744520,2,340,1841,160,c:40
4,1,399275,2,360,1651,140,c:40
4,2,744682,2,250,2031,120,c:40
5,2,1485183,2,900,2011,400,r:80
3,3,2227872,2,500,1901,240,r:80
4,2,744404,2,290,2541,140,c:40
4,2,397613,2,290,2711,140,c:40
