@relation 'riverRank Instances list'

@attribute playersLeft numeric
@attribute position numeric
@attribute riverRank numeric
@attribute id numeric

@data
5,2,-1,1617296
5,4,-1,1617303
5,5,-1,1617309
4,4,359194,1617313
4,3,744574,1617316
5,4,-1,1618534
6,1,395440,1618536
6,3,397624,1618544
6,5,743819,1620549
6,1,399472,1620551
7,3,-1,1620559
7,6,-1,1620569
7,5,744170,1620575
7,4,-1,1620581
6,2,744733,1620586
6,5,-1,1620595
5,2,-1,1620598
6,6,-1,1620607
6,4,-1,1620611
6,2,-1,1620615
6,4,2227762,1620623
6,3,-1,1620628
5,4,-1,1620663
4,1,-1,1620665
4,4,1115017,1620672
4,3,-1,1620675
4,1,-1,1620677
2,1,377840,1620684
3,3,1115370,1620688
3,2,2227788,1620690
4,1,-1,1620692
4,4,-1,1620699
4,2,-1,1620701
4,1,-1,1620704
4,2,-1,1620709
4,1,-1,1620712
4,4,-1,1620719
5,4,2227890,1620723
5,3,1115496,1620727
5,2,-1,1620731
5,1,-1,1620735
5,5,1115720,1620744
5,4,743313,1620748
5,2,744210,1620751
3,3,-1,1620757
5,4,743962,1622600
5,2,743857,1622603
5,3,-1,1622609
5,1,-1,1622612
5,5,-1,1622621
5,2,398738,1622623
5,4,-1,1622630
6,2,-1,1622633
6,6,-1,1622643
7,6,744572,1622649
7,4,-1,1622654
7,3,384260,1622660
8,2,-1,1622666
8,1,-1,1622673
7,7,-1,1622687
6,1,2227896,1622688
6,5,-1,1622698
6,2,-1,1622701
6,6,-1,1622711
5,1,-1,1622712
5,5,-1,1622721
5,4,744753,1622725
5,3,-1,1622729
5,2,744587,1622733
3,3,-1,1622739
5,1,-1,1622740
5,5,-1,1622749
5,4,392994,1622753
5,2,-1,1622756
4,3,2599175,1622762
4,2,399288,1622765
4,4,-1,1622771
4,4,-1,1622775
5,4,-1,1623380
5,3,-1,1623384
5,5,744669,1623391
5,4,-1,1623395
5,3,-1,1623399
4,3,-1,1623404
4,1,391047,1623406
4,4,-1,1623413
4,1,368698,1623414
6,1,-1,1623418
6,6,-1,1623429
8,4,-1,1623433
8,3,-1,1623440
8,8,-1,1623453
7,6,743801,1623459
7,2,390641,1623462
6,3,744379,1623470
6,1,390641,1623474
5,3,-1,1623482
4,2,375642,1623486
4,3,744156,1623491
4,1,397612,1623493
4,2,742947,1623525
4,1,1114707,1623528
5,2,377854,1623533
7,2,-1,1623538
6,5,-1,1623554
7,4,1485184,1623559
7,3,-1,1623565
7,2,396906,1623571
6,4,1115497,1623580
9,9,-1,1623591
9,8,-1,1623599
5,5,-1,1623758
5,4,-1,1623762
2,1,396360,1623764
2,2,744634,1623767
2,1,743661,1623768
2,1,393243,1623770
2,1,386233,1623772
3,1,390865,1623774
3,1,-1,1623777
3,3,397078,1623782
3,2,1114694,1623784
3,1,-1,1623786
3,3,380009,1623791
3,1,-1,1623792
3,3,386654,1623797
3,3,-1,1624716
3,1,744041,1624717
4,1,-1,1624720
3,3,386640,1624726
3,1,1113975,1624727
4,2,-1,1624731
4,1,394893,1624734
4,2,399627,1624739
4,2,743816,1624743
4,4,-1,1624749
4,3,375656,1624752
4,1,395231,1624754
4,2,381698,1624759
4,4,1485183,1624765
4,1,1485180,1624766
4,4,-1,1624773
3,1,390471,1624774
3,3,384458,1624779
3,1,395372,1624780
3,2,1485183,1624784
3,3,397247,1624788
3,1,388482,1624789
3,2,1114381,1624793
3,3,396684,1624797
3,3,743273,1624800
5,2,744184,1624802
5,1,399105,1624806
6,6,393063,1624816
6,4,-1,1624820
6,2,-1,1624824
6,6,-1,1624834
6,5,-1,1624839
6,2,384234,1624842
6,6,-1,1624852
6,4,-1,1624856
6,1,-1,1624859
6,5,-1,1624869
6,3,397626,1624873
5,2,390863,1624878
5,5,-1,1624886
5,4,-1,1624890
5,3,743649,1624894
5,2,-1,1624898
5,5,-1,1624906
5,2,-1,1624908
5,5,744363,1624916
5,2,384275,1624918
5,3,-1,1624924
5,5,744582,1624931
5,3,-1,1624934
5,1,-1,1624937
5,3,744764,1624944
5,2,744455,1624948
5,1,744221,1624952
5,5,368685,1624961
5,4,-1,1624965
6,6,-1,1624972
6,3,744739,1624975
7,1,-1,1624979
7,7,-1,1624992
7,6,384457,1624998
6,4,-1,1625003
6,3,-1,1625013
6,1,2129427,1625017
5,5,-1,1625027
5,1,-1,1625028
5,3,-1,1625035
5,2,-1,1625039
5,1,399641,1625043
5,3,393191,1625050
5,4,-1,1625056
5,2,-1,1625059
5,3,-1,1625065
5,2,396360,1625069
5,3,-1,1625075
5,2,395247,1625079
7,1,744405,1625083
7,5,-1,1625094
7,4,-1,1625100
7,3,-1,1625106
6,1,-1,1625116
6,6,-1,1625127
6,3,-1,1625130
7,7,1485182,1625140
7,4,393205,1625144
7,3,-1,1625150
9,1,-1,1625155
9,8,-1,1625171
9,7,-1,1625179
9,2,-1,1625212
9,6,-1,1625264
9,3,-1,1625270
9,2,-1,1625278
9,1,395440,1625286
9,7,-1,1625301
8,1,-1,1625304
8,8,1485184,1625319
7,4,-1,1625323
6,6,-1,1625344
5,4,2153594,1625452
5,5,-1,1625458
6,6,744002,1625464
4,3,-1,1625467
3,1,1116000,1625469
2,2,2227864,1625473
4,1,-1,1625474
4,3,-1,1625480
5,1,-1,1625482
5,5,-1,1625491
5,3,-1,1625494
3,3,363925,1625510
3,1,395242,1625511
3,1,-1,1625520
3,3,395246,1625525
3,3,-1,1625528
3,2,366305,1625530
4,1,-1,1625532
4,4,-1,1625539
4,1,2227849,1625540
4,1,744145,1625544
3,1,-1,1625568
3,1,-1,1625571
4,4,-1,1625577
5,4,-1,1625581
6,3,-1,1625585
6,3,-1,1625591
6,5,-1,1625599
