@relation 'River Round 2'

@attribute playersLeft numeric
@attribute position numeric
@attribute rank numeric
@attribute playersStreet numeric
@attribute pot numeric
@attribute chips numeric
@attribute chipsBets numeric
@attribute action string

@data
7,3,2227917,2,850,4568,340,r:80
5,4,744753,2,620,5539,300,c:40
3,3,2227894,2,640,9281,300,r:80
7,1,2208519,2,800,15944,400,r:80
3,2,1485179,2,570,38625,280,c:40
5,5,744662,2,530,38455,260,c:40
3,1,1115210,2,520,104114,260,c:40
9,6,1485182,2,670,104829,280,c:40
3,2,1115039,2,530,103383,260,r:80
3,2,1485175,2,480,122442,240,c:40
4,2,2132340,2,650,122485,280,c:40
4,1,395400,2,500,2090,240,c:40
5,2,2227860,2,520,2260,240,r:80
5,4,1485182,2,1020,5014,420,c:40
5,2,1485183,2,900,2011,400,r:80
4,1,1485184,2,660,4566,260,r:80
3,2,2227910,2,650,1996,320,r:80
3,1,2227877,2,840,2761,420,c:40
4,2,1485183,2,690,3866,320,r:80
4,2,1115214,2,540,4372,260,c:40
7,3,1485184,2,840,3282,360,c:40
3,3,1485176,2,1020,3597,500,r:80
5,1,1485182,2,1020,3527,420,r:80
3,3,744520,2,540,7683,260,c:40
4,1,397273,2,580,6635,280,c:40
5,5,2131976,2,820,4154,340,r:80
4,1,1485181,2,700,22228,340,c:40
4,2,1485180,2,690,21768,340,c:40
4,4,1485184,2,830,21333,400,r:80
4,3,1485179,2,530,4657,260,c:40
7,1,2153411,2,1080,4217,360,c:40
4,2,2225122,2,850,2503,420,r:80
6,1,2218035,2,640,3783,280,c:40
5,1,2227837,2,680,1865,280,c:40
5,4,2227849,2,820,2506,300,c:40
3,1,744517,2,420,7796,180,c:40
4,1,1485176,2,1040,5095,440,r:80
4,1,744742,2,560,1689,260,c:40
3,2,1115876,2,650,5502,320,c:40
5,5,1115058,2,580,19608,280,c:40
3,1,2227891,2,540,18438,260,c:40
5,4,1115328,2,640,20503,280,c:40
3,3,1114199,2,650,4010,320,r:80
5,4,2227849,2,740,3489,340,r:80
4,2,1114187,0,720,4188,320,Q:0
5,1,744766,3,1200,2107,400,c:0
7,2,1485180,2,820,2173,240,c:40
4,3,1485178,2,450,3209,200,c:40
6,1,1485184,3,560,9110,180,c:0
8,2,2215096,2,780,5337,280,c:40
6,3,2227924,2,610,5347,300,c:40
3,1,744020,2,600,6678,240,c:40
5,2,2129610,2,490,7293,220,c:40
5,4,2970349,2,850,5873,400,r:80
9,5,1115676,2,540,1964,240,c:40
5,5,1485181,2,690,3548,300,c:40
8,2,2227830,2,1070,3192,420,r:80
9,3,744519,3,1390,3892,420,c:40
7,5,2224990,2,580,7543,260,r:80
7,2,2227888,2,690,2474,320,r:80
5,2,1485184,2,530,2980,260,c:40
6,4,2227871,2,660,2360,280,c:40
3,3,1485179,2,530,3720,260,c:40
3,2,1485179,2,610,5684,300,r:80
4,1,1114215,2,460,8347,220,c:40
5,2,2227924,2,1500,11012,740,r:80
4,2,1485180,2,680,3841,340,r:80
3,2,1485183,2,560,2778,280,r:80
5,2,2162733,2,450,4421,220,c:40
7,3,2227914,2,790,3077,360,r:80
4,1,2227775,2,540,5483,260,r:80
4,1,1485176,2,560,22168,220,c:40
3,1,1485184,2,600,1972,300,r:80
5,5,1485183,2,1050,9171,520,r:80
4,4,2189421,2,650,61436,300,c:40
6,3,399103,2,1010,73185,420,c:40
6,2,1115215,2,460,60893,220,c:40
5,4,2220348,2,930,3225,360,r:80
7,3,2227900,2,520,2572,240,c:40
5,4,744480,2,510,7287,220,c:40
6,3,1116056,2,830,6507,380,c:40
4,2,2222546,2,710,2818,320,c:40
8,7,1485180,2,1370,2600,520,r:80
3,1,1115365,2,480,12962,220,c:40
4,2,2227770,2,820,14897,280,c:40
6,2,2227809,2,660,20192,280,c:40
6,2,1114891,2,560,21772,260,r:80
7,1,742766,2,440,22752,200,c:40
7,1,1485180,2,2060,4458,1020,r:80
8,7,1485184,2,1930,2324,580,r:80
4,2,1485184,2,600,2407,300,r:80
4,1,1114384,2,580,2307,280,c:40
4,1,2227796,3,1200,3367,380,r:80
6,5,2227850,2,720,3892,340,r:80
9,3,1485178,2,940,3867,440,r:80
5,3,744763,2,850,2981,420,c:40
3,2,1485183,2,560,18051,260,c:40
4,2,2227925,2,580,36365,260,r:80
3,1,1114042,2,660,50052,300,r:80
4,2,742948,2,490,49357,240,c:40
9,1,1115027,2,1160,16438,280,c:40
9,6,2189292,2,700,17152,280,c:40
6,1,2599139,2,600,2998,280,r:80
6,1,1116058,2,800,6205,360,c:40
7,4,1485183,2,1230,7295,600,r:80
5,1,2227894,2,420,7690,200,c:40
4,1,744532,2,740,2520,360,c:40
4,3,2227875,2,940,2015,420,c:40
4,2,743298,2,530,932,260,r:80
7,2,2227905,2,660,5618,280,c:40
9,8,1485184,2,1290,5818,420,r:80
6,4,744674,2,520,1111,240,c:40
9,9,1485179,2,1450,1551,440,r:80
8,5,1114381,2,730,2670,280,c:40
9,5,2222771,2,540,2272,240,c:40
3,1,1485180,2,620,2704,300,c:40
6,5,1485175,2,1140,10532,380,r:80
4,4,1485182,2,500,2393,240,c:40
6,2,1485181,2,370,7901,180,c:40
5,4,2227867,2,650,7221,320,r:80
4,1,1116018,2,380,129162,180,c:40
6,1,2227923,2,880,213156,440,r:80
4,1,1485177,2,400,186385,200,c:40
3,1,2227899,2,520,303074,260,c:40
6,1,2227850,2,720,3467,340,r:80
5,4,2131989,2,860,19401,320,c:40
3,1,1485181,2,680,306424,320,c:40
8,6,2193997,2,700,4646,300,c:40
5,2,744363,2,370,20526,180,c:40
3,2,2227902,2,810,4134,400,r:80
6,2,2217814,2,500,8784,180,c:40
8,4,1485183,2,470,11876,220,c:40
6,4,1485184,2,670,16208,320,r:80
9,7,1485183,2,1050,19253,380,r:80
6,5,2129976,2,660,20723,300,c:40
6,4,1485184,2,10630,27652,5240,r:80
5,1,744675,2,620,4570,260,c:40
7,5,744301,2,630,4080,300,c:40
7,2,2222236,2,530,3656,240,c:40
3,1,2227879,2,940,7969,460,r:80
5,3,2227767,2,680,8010,320,c:40
5,1,744552,2,740,7890,260,c:40
3,1,744542,2,520,7030,260,c:40
8,3,397274,3,1110,83006,360,c:40
3,1,1114847,2,500,2100,220,c:40
6,3,1116053,2,550,2080,260,c:40
3,2,2222587,2,560,1610,280,r:80
7,2,1485182,2,650,2688,300,r:80
5,1,1115731,2,800,2428,280,c:40
5,4,2599063,2,820,2238,360,r:80
6,1,2191475,2,740,2958,300,r:80
7,4,2227886,2,1000,3240,460,c:40
9,3,2227822,2,1380,2720,500,c:40
8,3,1485180,2,1020,555,380,r:80
4,2,1485177,2,480,3900,240,c:40
3,3,2191843,2,920,2112,400,c:40
3,1,2193660,2,580,902,260,r:80
8,2,2217490,2,550,1508,260,c:40
4,1,2194236,2,660,1165,300,r:80
5,3,744322,2,530,935,220,c:40
5,2,744204,2,530,715,260,c:40
4,1,1114041,3,840,985,280,c:0
9,9,2191111,2,690,28700,300,r:80
5,5,2217856,2,570,2171,260,c:40
6,1,1485184,2,1120,1448,480,r:80
5,5,744736,2,1110,88469,540,c:40
9,1,397260,2,460,129938,220,c:40
9,1,2221884,2,1360,131952,620,r:80
9,4,1485181,2,630,132412,260,c:40
7,3,2227896,2,1340,374465,660,r:80
3,3,2222573,2,690,460881,340,c:40
9,2,744533,2,560,27707,260,c:40
3,3,744525,2,2090,8485,1040,r:80
6,5,2227924,2,840,19234,380,r:80
6,6,2227911,2,740,3120,340,r:80
4,2,2189477,2,490,163418,240,c:40
3,2,1485182,3,840,514924,280,c:0
9,4,1485184,2,1290,10426,420,r:80
4,2,1485175,2,370,1700,180,c:40
9,4,1485184,2,640,2584,260,c:40
9,5,2070276,2,690,2881,300,r:80
6,2,2227857,2,490,21956,240,r:80
4,3,1485184,2,710,28645,340,r:80
7,7,2227881,2,1120,139378,460,r:80
7,3,2227883,2,950,2110,420,c:40
6,2,2224950,2,410,2380,200,c:40
4,3,2194052,2,540,2355,260,c:40
6,2,1114722,3,620,3890,200,c:40
9,3,1485184,2,670,7042,260,c:40
6,2,1485183,2,1490,32812,740,r:80
7,2,397585,3,1200,32032,400,c:0
9,7,2227883,2,1090,3460,500,r:80
4,2,2162564,2,920,46505,460,c:40
5,2,2193844,2,530,47205,260,c:40
5,3,1485183,2,710,47525,340,r:80
3,2,2599154,2,1200,47775,560,r:80
7,1,2162748,2,460,49560,220,c:40
7,2,2227834,2,1080,49620,420,r:80
3,1,2222363,3,840,51812,280,c:0
3,2,1115718,2,770,52562,380,r:80
4,1,744509,2,600,50012,300,r:80
4,2,743455,2,450,49712,220,c:40
7,1,2227872,2,1340,26725,660,r:80
3,1,2227922,2,920,12259,460,r:80
4,1,1114538,2,420,13689,200,c:40
7,3,2163227,2,980,16334,460,r:80
6,1,1114707,2,900,16404,300,r:80
8,1,1485184,3,880,58832,280,c:0
4,2,2227924,2,1660,2042,800,r:80
6,1,1485176,2,580,16692,260,c:40
7,6,2599114,2,970,39214,480,r:80
3,2,2100865,2,400,2722,200,c:40
9,4,2189447,2,750,3036,260,c:40
7,6,2227873,3,860,4193,280,c:0
9,1,1115384,2,560,4580,240,c:40
6,2,1485184,2,710,8872,300,r:80
4,2,744324,2,570,17324,280,c:40
4,1,1485178,3,680,5435,220,c:40
5,1,1485184,2,700,12298,260,c:40
5,2,1485183,2,490,2910,240,c:40
3,3,2227852,2,660,70760,320,c:40
8,6,2227873,2,960,283108,340,r:80
8,2,1485179,2,700,300877,300,r:80
6,5,2222599,2,460,1470,220,c:40
4,1,2227907,2,820,1760,400,r:80
8,1,2227895,2,680,1743,300,r:80
7,7,2225178,2,840,2465,380,r:80
3,1,1485180,2,560,2542,280,r:80
8,3,2227783,3,850,5049,280,c:0
9,2,743637,2,610,2002,300,c:40
4,3,1485184,2,940,3017,460,r:80
7,1,2224925,2,620,9426,300,r:80
7,6,2227883,2,840,965302,380,r:80
9,4,1115899,2,1690,1077,760,r:80
9,4,744308,2,730,3296,260,c:40
9,1,2227776,2,760,3916,280,c:40
6,1,2218039,2,420,4526,200,c:40
9,3,2191475,2,590,3913,260,r:80
5,5,2227908,2,680,5693,320,r:80
7,5,2224625,2,730,13993,360,r:80
4,4,2227923,2,760,14243,360,r:80
4,4,1485182,2,550,14213,260,c:40
4,1,1115377,2,640,15103,320,r:80
6,2,1485176,2,500,8793,240,r:80
7,5,397626,2,530,8003,260,c:40
6,1,1485183,2,580,9933,260,r:80
9,1,2225145,2,640,34940,260,r:80
9,4,1114018,2,590,45965,260,r:80
7,3,2227832,3,1050,46435,340,c:0
7,3,1115300,2,580,47062,220,c:40
6,2,744709,3,900,40022,300,c:0
4,1,1485181,2,580,3768,280,r:80
4,1,1485183,2,960,4088,480,r:80
7,2,2227844,2,470,35593,220,r:80
4,1,1115536,3,820,2047,260,c:0
9,2,1485181,2,830,4276,380,c:40
6,1,2162888,3,760,3921,240,c:0
6,2,1115718,2,570,3401,280,r:80
7,6,744766,2,860,3661,340,c:40
8,8,2227801,2,580,4061,240,r:80
6,3,2227879,2,790,4161,340,r:80
5,2,1485183,3,1770,1755,480,c:0
5,4,2227873,2,590,1465,280,c:40
9,4,1115566,2,800,735,360,r:80
6,1,2191449,2,600,1257,260,c:40
4,3,1485178,2,4720,2760,2180,r:80
6,3,744013,2,580,2225,280,c:40
7,4,744223,2,2000,1120,920,r:80
4,1,1115835,2,660,3045,320,c:40
6,1,2227921,2,900,12468,440,r:80
7,2,2160537,2,870,123251,400,r:80
4,2,1115184,2,770,3030,380,c:40
9,2,744738,2,690,2163,340,r:80
5,2,1485177,3,760,19091,240,c:0
4,2,2227891,2,820,182880,340,r:80
5,4,2227900,2,900,336495,440,c:40
4,2,2132173,2,760,336855,320,r:80
5,3,2213237,2,610,1935,300,r:80
9,1,2227843,2,780,3210,320,r:80
9,3,2227913,2,790,56718,360,r:80
4,1,399627,2,540,92387,260,c:40
3,2,1115224,2,640,1757,300,r:80
3,1,743668,2,800,2367,380,r:80
8,1,744182,3,1180,1910,360,c:40
9,3,2227812,2,750,4034,300,r:80
3,3,1485177,2,620,2855,300,r:80
7,2,1485184,2,1000,2437,400,r:80
8,6,1485183,2,1880,1503,900,r:80
6,5,2227818,2,920,2730,400,r:80
6,2,1114201,2,930,2150,320,c:40
9,2,1114043,2,620,3543,260,c:40
3,1,744475,2,460,2683,220,c:40
5,1,2191800,2,620,2433,220,c:40
9,5,2599167,2,950,15906,460,r:80
9,4,1115904,2,830,19864,360,c:40
6,5,1114706,2,850,19974,420,r:80
9,8,2599180,2,660,16649,320,r:80
8,5,1485180,2,840,2900,380,r:80
8,1,744166,3,900,4535,200,c:0
6,1,2227868,2,480,6113,240,c:40
7,2,743274,2,290,9123,140,c:40
5,2,1485177,2,490,12646,240,r:80
6,1,1115536,2,600,2770,220,c:40
6,1,2191492,2,680,1815,300,c:40
8,5,2227788,2,620,19029,260,c:40
6,6,1485184,2,750,1396,360,r:80
8,2,2227840,2,730,2306,360,r:80
4,2,1485181,2,380,4528,160,c:40
7,4,2217658,3,1290,5682,400,c:0
9,2,2187094,2,540,2054,260,c:40
6,4,2227854,2,610,4033,280,r:80
6,4,1485178,2,550,2678,220,c:40
9,3,1114539,2,500,3329,220,c:40
7,2,744542,2,710,3459,300,c:40
4,2,2220374,2,410,1170,200,c:40
9,5,2970349,2,1470,1965,620,r:80
4,3,2227881,2,510,2183,240,c:40
4,1,744527,2,800,6779,340,c:40
7,4,1115325,2,1430,6514,560,r:80
3,3,1485184,2,850,3763,420,c:40
5,5,1485183,2,690,6091,340,c:40
8,5,1485181,2,760,1960,300,r:80
8,1,743443,3,800,3852,240,c:0
9,1,394710,2,1220,3724,340,c:40
8,4,2194234,2,1010,3093,380,c:40
3,1,1485176,2,280,2388,140,c:40
7,3,1485180,2,1540,2733,520,r:80
6,5,1485181,2,850,1741,380,c:40
9,4,2225081,2,560,5142,240,c:40
9,2,393228,2,690,16085,240,c:40
3,2,2227924,3,1020,14065,340,c:0
5,1,2189109,2,680,14569,260,r:80
9,2,1485181,3,2010,1995,480,c:40
