@relation 'Flop Round 3'

@attribute playersLeft numeric
@attribute position numeric
@attribute rank numeric
@attribute playersStreet numeric
@attribute pot numeric
@attribute chips numeric
@attribute chipsBets numeric
@attribute action string

@data
4,4,2227764,2,460,15587,320,r:40
5,1,744282,2,360,3429,300,r:40
4,3,383347,2,390,6930,180,c:20
8,6,366333,2,580,4304,240,r:40
5,4,396721,2,330,4903,200,c:20
7,7,396852,2,390,46204,260,c:20
8,2,301860,4,490,2194,240,c:0
8,6,1113947,2,680,2652,340,r:40
4,1,389572,2,360,1866,200,c:20
7,1,1485184,2,520,1883,600,c:20
6,2,1485181,2,330,7148,600,r:40
7,2,399443,2,370,2270,260,c:20
6,1,367250,2,320,1971,260,c:20
8,2,366306,2,490,1523,320,c:20
5,4,399453,2,430,2583,320,c:20
5,2,398853,2,420,11162,260,c:20
4,2,394655,2,360,3556,320,c:20
7,1,744565,2,380,3055,220,c:20
4,1,390625,2,340,4070,240,c:20
4,1,397033,2,440,4615,300,r:40
8,1,391417,2,560,4778,260,c:20
4,1,1115903,2,580,4350,360,r:40
6,2,361391,2,520,718,360,r:40
4,2,399088,2,380,2375,320,c:20
7,3,358982,2,550,29592,300,r:40
7,1,390676,2,300,26725,660,c:20
6,6,1485184,2,700,16689,460,r:40
6,2,1485175,2,300,2088,240,c:20
6,4,393245,2,1330,2271,660,r:40
6,2,390680,2,250,6395,200,c:20
4,3,373376,2,620,1775,380,r:40
4,4,397593,2,520,1040,380,c:20
5,1,393162,2,320,2418,220,c:20
4,1,380018,2,280,10748,300,r:40
4,1,399105,3,360,1995,160,c:0
8,6,743289,2,380,20324,240,c:20
6,4,744697,2,350,21664,340,c:20
4,1,744150,2,280,26356,260,c:20
8,1,398360,2,380,2450,240,r:40
4,1,1116032,2,480,4532,280,c:20
5,2,337767,2,330,4888,160,c:20
4,1,337731,2,420,387,280,r:40
8,2,2163239,2,2360,7118,1220,r:40
