@relation 'Turn Round 2'

@attribute playersLeft numeric
@attribute position numeric
@attribute rank numeric
@attribute playersStreet numeric
@attribute pot numeric
@attribute chips numeric
@attribute chipsBets numeric
@attribute action string

@data
3,2,2227773,2,400,5351,240,c:40
5,4,1115679,2,580,4749,320,r:80
7,4,1485184,2,550,5624,300,r:80
3,2,1114694,2,450,5434,260,r:80
5,3,744764,2,700,7817,380,r:80
7,2,1115718,2,460,8211,240,r:80
6,2,1116058,2,640,10631,280,r:80
4,1,1114352,2,720,10331,340,r:80
5,2,2222768,2,410,8671,240,c:40
4,3,1115398,2,510,11874,280,c:40
5,1,1485184,3,680,14224,340,c:0
5,2,386458,2,560,34801,320,r:80
6,2,1485184,2,410,56484,240,r:80
6,3,393191,2,590,94127,240,c:40
3,1,399416,2,500,107781,280,c:40
3,2,394893,2,410,121842,240,r:80
3,2,1115550,2,560,119543,320,c:40
6,2,743283,2,450,123460,260,r:80
8,1,1115011,2,480,2208,280,r:80
3,2,399453,2,370,2880,220,c:40
8,1,1114651,2,580,2580,340,r:80
5,4,1485182,2,620,5014,420,c:40
7,5,1115187,2,550,2999,300,c:40
3,1,1115533,2,520,2761,420,r:80
5,2,1485184,2,610,2876,280,c:40
4,1,744218,2,420,3206,200,c:40
4,2,1116044,2,570,3576,400,r:80
7,3,1485184,2,520,3282,360,c:40
5,1,1485182,2,620,3527,420,r:80
3,1,399444,2,280,2229,140,c:40
5,5,2227771,2,790,2289,420,r:80
8,2,743793,2,620,3829,300,r:80
9,9,1115989,2,710,4664,360,r:80
6,2,393036,3,490,5814,200,c:0
7,3,1116039,2,610,23478,260,r:80
5,3,744646,2,600,21398,300,c:40
7,3,2970350,2,960,14766,360,r:80
8,2,744481,2,450,5017,260,r:80
7,2,744019,3,950,3677,320,c:0
9,6,1485175,2,590,5159,300,r:80
6,1,388445,3,920,5489,320,c:40
5,2,1485184,2,410,50868,240,r:80
6,1,744153,2,1020,2713,300,r:40
6,2,363926,2,560,3423,260,c:40
5,2,743833,2,450,4274,260,c:40
3,2,744520,2,480,2515,260,c:40
7,2,1115720,2,550,3210,240,c:40
5,1,1114215,3,780,2801,300,r:40
6,5,1485179,2,590,3550,320,r:80
8,5,366333,4,1480,4440,300,c:0
4,2,743806,3,720,5255,280,c:0
4,3,398909,2,860,4495,460,r:80
3,2,744182,2,410,6212,280,c:40
7,2,2227922,2,620,9451,300,r:80
4,3,399261,3,600,8834,240,c:0
5,1,744688,2,420,14626,240,c:40
3,2,2222574,2,560,20290,320,r:80
5,2,1485184,2,1010,3347,540,r:80
6,3,392866,2,450,2549,240,c:40
8,5,2227809,2,600,3336,340,r:80
9,4,743313,3,590,4506,200,c:0
6,1,337364,2,460,7803,200,c:40
6,4,1114552,2,1150,7045,560,r:80
6,2,1485184,2,600,8470,300,c:40
5,2,2224963,2,630,2298,260,r:40
3,1,399637,2,500,7175,280,c:40
9,2,399247,3,970,4267,360,c:0
6,1,392867,3,720,5757,240,c:0
8,4,1114369,2,470,5577,240,c:40
4,1,2227803,2,500,5322,280,r:80
7,2,2599164,2,610,46304,340,r:80
5,1,744202,2,600,1504,300,r:80
9,6,1115677,3,620,8533,220,c:0
5,1,744546,3,1060,3928,380,c:40
8,2,2227830,3,670,3192,420,r:40
9,3,397049,3,910,3892,420,c:40
7,2,399598,2,450,5410,240,c:40
8,3,306645,4,1280,5690,320,c:0
9,3,744381,3,920,7658,400,c:0
4,2,1485177,2,570,1920,320,r:80
4,2,744728,2,330,1775,160,c:40
9,1,2194051,2,540,28841,300,r:80
4,1,1115366,2,700,7782,340,r:80
3,2,744584,2,410,8477,240,c:40
5,1,744200,2,480,10585,240,c:40
8,7,2217293,2,720,28259,320,c:40
3,2,390121,2,370,32648,180,c:40
3,3,399623,2,450,34628,260,c:40
4,1,1114829,2,900,4181,500,r:80
5,2,1485183,2,400,3861,220,c:40
3,1,744208,2,360,71504,180,c:40
8,5,1114157,4,1270,2932,320,r:60
3,1,397205,2,380,18918,220,c:40
4,3,743453,2,570,1546,320,c:40
4,3,1114832,3,780,1536,300,c:40
3,1,744764,3,480,2280,200,c:0
3,1,391021,2,400,230,180,c:40
5,2,394711,2,430,1960,180,c:40
5,1,368685,2,640,11575,200,c:40
5,4,1114017,2,560,11705,300,c:40
4,1,2227916,2,460,3017,260,c:40
6,1,1485179,3,940,4103,360,c:0
3,2,1485178,2,410,4258,200,r:80
3,2,1114680,2,580,17206,300,c:40
4,3,397177,2,390,2892,180,c:40
4,1,744040,2,500,3172,200,c:40
7,2,2160522,2,430,4836,220,c:40
8,2,1115046,2,430,6266,300,c:40
5,5,1485183,2,490,9171,520,c:40
4,1,393201,2,400,9071,240,c:40
7,2,1115018,3,770,25981,280,c:40
3,1,1485182,2,740,54690,400,r:80
9,2,1485181,2,370,60536,220,c:40
6,4,399626,3,990,72050,320,c:0
6,2,388833,3,550,73655,220,c:0
6,5,1485184,2,750,59828,400,r:80
9,3,395415,3,750,2320,280,r:40
9,4,2227863,2,790,3173,320,r:80
7,4,1114128,2,590,2888,300,r:80
8,3,1485184,2,470,2422,260,r:80
5,1,2227892,3,680,4277,240,c:0
6,3,1115989,2,590,6507,380,r:80
7,1,1115547,2,880,48276,320,c:40
6,5,390118,2,430,1840,240,c:40
8,8,373473,2,500,2210,260,c:40
6,1,744383,2,460,2152,260,c:40
7,7,399557,3,640,2132,240,c:0
9,7,1485184,2,650,2301,280,c:40
6,2,396867,2,740,3115,320,c:40
6,6,399275,2,530,2004,280,r:80
8,5,1115863,2,510,6583,260,c:40
3,1,1485183,2,380,10217,220,c:40
6,1,372924,3,980,10487,340,c:40
3,3,2227915,2,490,12222,280,r:80
4,1,1114876,3,700,14612,260,r:40
4,2,743976,2,680,22532,320,c:40
7,1,1485184,2,1000,1883,600,r:80
7,1,1485180,2,860,4458,1020,r:80
7,3,388571,2,460,10732,260,c:40
3,2,394698,2,410,2289,240,c:40
8,7,1485184,4,1370,2324,580,c:0
3,1,396905,2,620,2086,340,r:80
4,2,1485179,2,800,2827,440,r:80
4,1,1114374,3,720,3367,380,c:40
4,3,744023,2,470,13617,260,r:80
6,1,1485176,2,500,3922,240,r:80
8,1,397622,2,460,3567,260,c:40
6,1,334661,3,460,2317,140,c:0
7,2,399455,2,430,2307,220,c:40
7,1,2037153,2,580,1622,240,c:40
9,1,399623,3,1040,1282,360,c:0
5,3,399599,2,450,2981,420,c:40
6,1,743833,2,380,2326,260,c:40
7,2,1485180,2,410,3566,240,r:80
6,1,2227881,2,580,40192,300,c:40
3,3,2227918,2,570,16472,320,c:40
3,3,1485181,2,460,16427,260,c:40
4,1,2222600,2,480,3218,300,c:40
3,1,1114538,2,360,6818,180,c:40
6,2,1485181,2,1050,7148,600,r:80
8,6,1116028,2,430,5685,240,c:40
6,1,399624,2,560,6205,360,c:40
7,2,744331,2,470,6735,260,c:40
7,4,1485183,2,590,7295,600,r:80
5,2,1114537,3,670,7150,260,c:0
4,2,399584,2,450,7570,220,c:40
5,1,744716,2,520,7280,240,c:40
6,2,399402,3,640,1670,240,c:0
4,4,1115732,2,780,3511,380,c:40
3,1,394881,2,540,2490,340,c:40
3,1,744506,2,620,1465,340,c:40
7,2,393190,2,480,975,260,c:40
4,3,368711,4,1120,1920,280,c:0
3,1,1115623,2,780,1790,340,r:80
6,2,743840,4,880,3300,260,c:0
4,1,1485184,2,1200,1232,640,r:80
5,1,743492,2,580,1278,300,r:80
8,1,388107,3,860,2261,320,c:0
8,8,1115566,2,730,2480,400,r:80
7,5,2227783,2,690,3310,380,r:80
8,1,399597,3,700,3680,260,c:40
4,3,2224965,2,480,3152,260,c:40
4,2,1485183,2,490,3022,240,r:80
7,5,377853,2,660,2313,260,c:40
5,1,1114384,2,440,2233,240,r:80
4,1,398737,2,380,2304,220,c:40
4,1,1115210,2,460,7392,260,c:40
3,1,1114863,2,400,3101,240,c:40
4,2,1485184,2,440,4586,260,c:40
8,6,1115000,2,800,2918,440,c:40
8,2,1116030,2,620,5642,300,r:80
8,3,2215447,3,1130,2159,420,c:0
3,1,2227889,2,360,5191,200,c:40
4,3,399441,2,470,6761,260,c:40
4,2,1115731,2,490,7811,280,r:80
5,1,744352,2,600,8506,260,c:40
4,4,1485184,2,610,52028,340,c:40
6,4,1485184,2,1320,133734,660,r:80
6,3,744532,2,410,136507,220,c:40
3,1,744700,2,540,130652,220,c:40
6,2,1115185,2,580,129502,260,c:40
6,1,2227923,2,560,213156,440,r:80
5,3,2227880,2,770,213721,420,r:80
4,2,399275,2,370,314601,220,c:40
7,2,1116060,2,450,307671,260,c:40
6,1,1485184,2,400,3557,240,c:40
4,2,2227833,2,620,7359,340,r:80
6,4,2227901,2,610,22188,270,c:40
7,6,1115728,2,550,22348,300,r:80
3,1,397610,2,420,321809,240,c:40
3,1,1115551,3,660,323541,300,c:40
3,2,1115510,2,480,513379,320,c:40
4,3,1114003,2,510,2366,220,c:40
4,2,391029,2,510,4436,220,c:40
9,1,744400,4,900,5084,260,c:60
9,1,2210533,2,460,4564,260,c:40
6,1,1485181,2,420,9478,240,r:80
6,1,2160719,2,380,10403,220,c:40
5,1,1116057,2,740,12775,400,r:80
7,4,337405,3,1080,10917,280,c:40
3,3,744451,2,480,10582,260,c:40
6,5,744300,2,470,11912,260,c:40
9,1,2227924,2,480,3306,260,r:80
