@relation 'Flop Round 2'

@attribute playersLeft numeric
@attribute position numeric
@attribute rank numeric
@attribute playersStreet numeric
@attribute pot numeric
@attribute chips numeric
@attribute chipsBets numeric
@attribute action string

@data
4,2,1115895,2,400,18918,320,r:40
6,2,386646,2,210,2456,180,c:20
4,2,744514,2,400,1736,240,c:20
4,2,394893,2,320,1606,340,c:20
4,1,389572,2,360,1866,200,r:40
3,1,399611,3,240,2280,200,c:0
4,1,398190,3,360,2585,280,c:0
5,1,744198,2,260,12645,200,c:20
6,5,1114373,2,540,3493,300,c:20
5,1,381709,3,300,3213,180,c:0
6,1,1485179,3,460,4103,360,r:20
5,3,381894,2,260,5673,200,c:20
3,1,2222051,2,260,19202,240,r:40
5,1,744208,3,360,18783,160,c:20
4,1,397275,3,360,21878,200,c:20
4,2,744158,2,290,21658,200,r:40
8,5,394880,3,340,2701,180,c:0
7,2,354419,3,490,6596,200,c:20
8,6,399458,2,310,8981,140,c:20
6,3,389937,3,340,9622,100,c:0
4,1,368528,3,320,9472,100,c:0
5,2,380003,3,400,26821,120,c:20
4,3,399233,2,270,27021,200,c:20
4,1,383345,3,240,29420,200,c:0
6,1,366329,4,660,49976,200,c:0
3,1,294932,2,240,54470,200,c:20
5,2,394147,3,420,60134,220,c:0
6,4,743848,4,570,61056,300,c:0
9,1,299677,2,540,60766,220,c:20
6,4,399622,3,510,72050,320,c:0
7,3,2189450,4,670,72130,360,c:0
7,2,368525,3,610,71770,140,c:0
4,1,381891,3,420,73485,240,c:0
3,1,388612,2,200,72482,180,c:20
7,2,1485183,3,420,60173,300,c:20
6,1,392471,2,240,2078,180,r:40
3,1,399466,2,200,2688,220,r:40
7,1,744387,2,300,2832,220,r:40
7,2,744293,2,470,1976,260,r:40
6,3,392994,2,430,2336,260,c:20
7,2,391599,3,350,3186,220,r:40
6,2,396865,3,420,3115,320,c:0
8,4,390991,2,300,2114,160,r:40
7,1,368710,3,380,67572,240,c:0
7,3,378235,3,330,8233,180,c:20
4,1,397256,3,420,10417,160,r:20
6,1,372726,3,500,10487,340,c:20
9,9,397597,3,510,12637,260,c:0
7,1,386049,3,320,12337,180,c:0
3,1,337753,3,180,14587,140,c:0
6,2,744496,2,340,20192,280,c:20
6,1,1115394,5,820,20572,240,r:40
6,2,743454,3,370,1361,200,r:40
7,1,1485184,2,520,1883,600,r:40
7,2,361574,3,490,2588,240,c:0
3,1,399654,2,240,9368,240,c:20
6,1,1116024,3,440,10612,220,c:0
5,3,382980,2,310,10322,240,r:40
9,4,386218,3,430,2694,160,r:20
3,1,332605,2,200,1899,140,c:20
8,1,392148,2,380,2329,220,c:20
7,5,363954,2,230,2339,180,c:20
5,2,393188,3,370,3029,160,c:0
5,5,392809,2,310,2749,200,c:20
5,2,337038,2,210,3019,100,c:20
4,4,744303,2,250,3312,200,c:20
8,1,384455,4,320,3252,200,c:0
9,3,381162,2,300,3867,440,c:20
8,2,388105,4,410,2267,180,c:0
9,1,399555,3,560,1282,360,c:20
8,2,397177,3,380,1771,260,c:0
7,5,333013,2,230,1501,220,c:20
8,2,378235,3,410,1161,200,c:20
6,6,1115377,3,370,1491,280,c:0
7,2,1115989,3,340,3411,140,c:0
6,3,390923,2,410,4011,240,c:20
4,1,377784,2,300,3426,180,c:20
4,3,399599,2,240,4731,140,c:20
5,1,306827,2,280,17981,200,r:40
5,2,743435,4,410,36178,220,r:40
4,1,1115718,2,220,36975,160,c:20
5,1,382045,2,220,51342,180,c:20
4,1,381694,4,640,49487,200,c:0
4,3,394881,2,290,49040,160,c:20
3,1,399399,2,240,49070,200,c:20
5,1,744701,4,440,49100,180,r:40
4,3,399467,3,380,49040,200,c:0
5,4,396709,2,350,53205,240,c:20
6,1,744196,2,260,40192,300,c:20
5,4,354434,2,360,16927,240,c:20
4,1,366132,2,240,3218,300,c:20
5,1,1114172,2,200,4158,120,c:20
6,3,335207,2,270,4138,220,c:20
5,1,299692,4,400,5508,180,c:40
6,2,1485181,2,330,7148,600,r:40
6,2,399415,2,410,8228,483,c:20
6,3,398360,2,300,8661,200,c:20
9,1,397254,2,340,5670,200,r:40
5,2,398892,2,210,5815,180,c:20
4,1,303719,2,300,7680,160,c:20
4,2,397611,2,210,7630,140,c:20
4,3,381290,2,310,7600,180,c:20
4,2,367785,2,210,7570,220,c:20
3,1,744721,2,320,10224,180,c:20
4,1,375037,2,220,11764,140,c:20
4,4,743311,2,330,13434,260,c:20
9,3,396853,3,370,3546,200,c:0
3,3,1114703,2,260,5979,280,c:20
3,1,744506,2,380,1465,340,c:20
7,2,393190,2,240,975,260,c:20
4,3,368489,4,480,1920,280,c:0
3,1,1115621,3,420,1790,340,c:0
6,2,744281,3,310,2130,180,c:20
7,4,396878,2,430,1837,240,r:40
8,1,390626,2,280,2217,180,c:20
3,1,744284,2,260,1985,200,c:20
8,5,392093,3,410,2112,200,c:0
7,2,394487,2,190,2138,80,c:20
5,5,399458,2,370,878,220,c:20
9,1,744569,4,500,5208,240,c:0
8,1,387751,3,500,2261,320,c:0
9,2,397048,4,580,1971,240,c:0
7,3,325873,2,310,1021,160,c:20
5,4,744635,3,600,3150,240,c:0
7,5,386035,2,340,1900,160,c:20
7,2,399443,2,370,2270,260,r:40
9,5,244907,4,590,3210,180,c:0
3,2,396656,2,410,3042,280,r:40
6,4,244949,2,230,4122,140,c:20
6,1,367250,2,320,1971,260,r:40
8,2,366306,2,490,1523,320,r:40
5,4,399453,2,430,2583,320,r:40
6,2,396332,3,590,3033,240,r:20
3,1,395331,3,420,1394,180,c:20
3,1,388639,2,200,7402,180,c:20
6,2,390807,2,340,7102,160,c:20
6,5,365911,2,330,6912,240,r:40
5,1,1485184,2,320,7102,180,r:40
3,3,380952,2,280,7562,200,c:20
4,3,337754,2,270,7462,120,c:20
3,2,389768,2,290,7357,220,r:40
3,1,399087,2,200,7927,140,c:20
5,2,398853,2,420,11162,260,r:40
8,3,365053,3,510,29189,240,r:40
3,2,379432,2,210,54191,180,c:20
3,2,1485175,2,210,2231,180,c:20
3,2,743822,2,380,2591,280,r:40
4,2,1115180,4,640,2116,200,c:0
4,2,394655,2,360,3556,320,r:40
7,1,744565,2,380,3055,220,r:40
9,2,744211,4,460,2912,180,c:0
4,2,399400,2,240,4791,140,c:20
4,2,376207,2,210,2860,140,c:20
3,1,394712,2,180,3010,120,c:20
4,1,744210,2,240,4908,160,c:20
4,2,1485180,3,300,3918,180,c:20
5,1,385923,2,240,2608,180,c:20
4,1,397242,3,380,4018,200,c:0
9,6,392146,2,250,2777,180,c:20
