@relation 'River Round 3'

@attribute playersLeft numeric
@attribute position numeric
@attribute rank numeric
@attribute playersStreet numeric
@attribute pot numeric
@attribute chips numeric
@attribute chipsBets numeric
@attribute action string

@data
7,1,2208519,2,800,15944,400,c:40
5,2,1485183,2,900,2011,400,r:80
4,4,1485184,2,830,21333,400,r:80
4,2,2225122,2,850,2503,420,r:80
4,1,1485176,2,1040,5095,440,r:80
5,4,2227849,2,740,3489,340,c:40
5,4,2970349,2,850,5873,400,r:80
7,2,2227888,2,690,2474,320,c:40
5,2,2227924,2,1500,11012,740,r:80
7,3,2227914,2,790,3077,360,r:80
5,5,1485183,2,1050,9171,520,c:40
8,7,1485180,2,1370,2600,520,r:80
7,1,1485180,2,2060,4458,1020,r:80
8,7,1485184,2,1930,2324,580,r:80
9,3,1485178,2,940,3867,440,c:40
7,4,1485183,2,1230,7295,600,r:80
9,8,1485184,2,1290,5818,420,c:40
9,9,1485179,2,1450,1551,440,c:40
6,1,2227850,2,720,3467,340,c:40
6,4,1485184,2,670,16208,320,c:40
6,4,1485184,2,10630,27652,5240,r:80
7,2,1485182,2,650,2688,300,c:40
8,3,1485180,2,1020,555,380,c:40
4,1,2194236,2,660,1165,300,c:40
6,1,1485184,2,1120,1448,480,r:80
9,1,2221884,2,1360,131952,620,r:80
6,5,2227924,2,840,19234,380,r:80
9,4,1485184,2,1290,10426,420,r:80
9,5,2070276,2,690,2881,300,c:40
7,7,2227881,2,1120,139378,460,c:40
6,2,1485183,2,1490,32812,740,r:80
7,1,2227872,2,1340,26725,660,c:40
6,1,1114707,2,900,16404,300,c:40
4,2,2227924,2,1660,2042,800,r:80
7,6,2599114,2,970,39214,480,r:80
6,2,1485184,2,710,8872,300,c:40
4,1,2227907,2,820,1760,400,r:80
7,6,2227883,2,840,965302,380,r:80
9,4,1115899,2,1690,1077,760,r:80
4,1,1115377,2,640,15103,320,r:80
4,1,1485181,2,580,3768,280,c:40
4,1,1485183,2,960,4088,480,r:80
6,2,1115718,2,570,3401,280,c:40
4,3,1485178,2,4720,2760,2180,r:80
7,4,744223,2,2000,1120,920,r:80
6,1,2227921,2,900,12468,440,r:80
7,2,2160537,2,870,123251,400,r:80
9,2,744738,2,690,2163,340,c:40
4,2,2227891,2,820,182880,340,c:40
9,3,2227812,2,750,4034,300,c:40
7,2,1485184,2,1000,2437,400,c:40
8,6,1485183,2,1880,1503,900,r:80
6,5,2227818,2,920,2730,400,r:80
8,5,1485180,2,840,2900,380,r:80
7,4,1115325,2,1430,6514,560,r:80
7,3,1485180,2,1540,2733,520,c:40
