@relation 'Turn Round 1'

@attribute playersLeft numeric
@attribute position numeric
@attribute rank numeric
@attribute playersStreet numeric
@attribute pot numeric
@attribute chips numeric
@attribute chipsBets numeric
@attribute action string

@data
6,5,399654,2,310,15214,160,c:40
5,1,398921,2,260,15384,160,c:40
3,1,744507,2,360,15634,220,r:80
7,1,1485177,2,320,15944,400,r:80
5,1,395345,2,240,15264,120,c:40
3,1,744001,2,220,14099,100,c:40
3,1,744767,2,240,13889,140,c:40
4,2,391049,2,210,15247,100,c:40
2,2,744715,2,440,16577,260,r:80
2,1,396529,2,240,16417,160,c:40
2,1,306828,2,240,16627,120,c:40
2,1,382232,2,240,16717,120,c:40
2,1,382078,2,160,16717,80,c:40
2,1,386473,2,200,17177,100,c:40
3,3,399078,2,260,17637,160,c:40
3,1,396711,2,280,17827,160,c:40
2,2,398712,2,280,17707,180,c:40
4,1,384088,3,420,17737,140,c:40
3,2,388853,2,210,17467,140,c:40
6,4,399637,2,370,17837,180,r:80
5,4,1114365,2,320,17657,220,c:40
6,6,2158509,2,400,17672,220,r:80
5,3,743624,2,230,17552,140,c:40
5,2,1115860,2,480,38115,240,r:80
8,4,396894,3,390,38475,120,c:40
7,2,1114722,2,440,38355,220,c:40
2,2,1114857,2,320,37955,200,r:80
3,1,399076,2,280,38285,180,c:40
4,1,2227865,2,300,38585,180,r:80
5,5,1115564,2,490,31920,260,r:80
6,1,1485179,2,460,32110,220,r:80
5,1,399274,3,300,32310,140,c:40
3,2,384403,2,210,32115,100,c:40
3,2,743115,2,260,32165,100,c:40
4,1,368488,2,180,32325,80,c:40
4,1,394892,2,360,32400,220,r:80
4,1,744541,2,340,32850,200,r:80
3,2,384459,2,290,33130,140,c:40
4,3,395228,2,320,32830,120,c:40
4,2,1114004,2,330,32970,160,r:40
4,1,743961,2,160,33220,60,c:40
5,2,394529,3,430,33500,140,c:0
5,1,744530,2,340,33360,160,c:40
2,1,397049,2,240,34331,120,c:40
5,2,744119,2,370,34691,180,c:40
5,2,386458,2,560,34801,320,r:80
5,1,375625,2,300,34481,140,c:40
5,3,2220376,2,280,34721,160,r:80
2,1,335027,2,160,34964,80,c:40
4,1,268568,3,240,38258,80,c:40
5,1,306648,2,180,38018,80,c:40
5,4,1485182,2,370,38118,220,r:80
4,2,743307,2,440,38463,200,r:80
2,1,386456,2,280,38393,180,c:40
2,1,1115208,2,440,38133,260,r:80
2,1,743104,2,280,39143,140,c:40
5,2,381685,2,210,53663,180,c:40
4,2,388612,2,290,54237,140,c:40
3,1,386572,2,320,45351,140,r:80
3,1,399102,2,280,45261,180,c:40
3,1,379502,2,240,50042,120,c:40
2,1,356814,2,160,49822,80,c:40
4,1,399106,2,220,49947,140,c:40
4,1,2163252,2,320,49797,120,c:40
7,1,744584,2,280,51009,140,c:40
3,2,396879,2,130,50608,60,c:40
2,2,397246,2,240,50308,160,c:40
2,2,386274,2,240,50348,120,c:40
3,1,399232,2,360,50158,200,c:40
5,1,744552,2,180,55854,120,c:40
6,2,1485184,2,410,56484,240,r:80
5,1,393034,2,240,71120,160,c:40
6,3,744455,2,300,92092,160,c:40
7,3,744755,2,180,92612,60,c:40
5,1,386627,2,320,92632,160,c:40
5,1,395399,2,320,87937,140,c:40
8,4,399624,3,300,88117,80,c:0
6,3,393191,2,590,94127,240,c:40
3,2,393232,2,210,111939,140,c:40
3,1,386403,2,280,111919,180,c:40
4,4,396895,2,300,111809,180,c:40
5,4,1115873,2,560,111669,280,c:40
5,3,337771,3,280,111389,240,c:0
4,1,2101400,2,300,111469,180,r:80
6,2,742942,3,300,111939,100,c:0
7,4,388487,3,460,100074,140,c:40
3,2,2225121,2,360,99989,200,r:80
3,2,306831,3,300,100319,100,c:0
6,6,396684,2,340,96227,180,c:40
8,6,392510,2,320,95237,180,c:40
2,1,399274,2,360,98262,180,c:40
4,2,388846,2,370,101817,220,r:80
7,7,744727,2,390,104604,220,c:40
